Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
BROWN-FORMAN CORP -CL B CL B,2146838,362,"22,195",0.00%
BT GROUP PLC,3091357,"8,818","25,693",0.00%
BUILDERS FIRSTSOURCE INC COM USD0.01,B0BV2M7,123,"28,311",0.00%
BUKIT DARAH PLC,6151667,"19,512","63,864",0.00%
BUNGE GLOBAL SA,BQ6BPG9,131,"16,401",0.00%
BUNZL PLC BUNZL PLC,B0744B3,"30,081","2,005,487",0.03%
BUREAU VERITAS SA EUR0.12,B28DTJ6,154,"7,580",0.00%
BURLINGTON STORES INC BURL,BF311Y5,77,"35,435",0.00%
BWP TRUST,6127453,"83,480","273,813",0.00%
BXP INC,2019479,107,"12,822",0.00%
BYD CO LTD -A,BD5CQ69,"16,986","1,056,262",0.02%
BYD CO LTD-H,6536651,"15,144","839,444",0.01%
C.H. ROBINSON WORLDWIDE INC COM USD0.1,2116228,109,"18,179",0.00%
CADENCE DESIGN SYSTEM COM,2302232,"3,525","1,710,417",0.03%
CAESARS ENTERTAINMENT INC,BMWWGB0,"4,240","228,853",0.00%
CAITONG SECURITIES CO LTD-A,BFY9KS5,"30,575","54,954",0.00%
CAIXIABANK,B283W97,"30,676","268,629",0.00%
CAMDEN PROPERTY TRUST SBI USD0.01,2166320,151,"28,285",0.00%
CAN APARTMENT PROP REAL ESTA,2117599,95,"4,566",0.00%
CANADIAN NAT RES LTD COM,2171573,"38,945","1,941,008",0.03%
CANADIAN NATL RY CO COM,2180632,581,"95,227",0.00%
CANADIAN PACIFIC KANSAS CITY,CA13645T1003,951,"111,155",0.00%
CANADIAN TIRE CORP-CLASS A,2172286,35,"5,938",0.00%
CANADIAN UTILITIES LTD A CLASS'A'COM NON,2172639,128,"5,016",0.00%
CANON INC ORD,6172323,"1,151","61,047",0.00%
CANSINO BIOLOGICS INC-A,BMD9JD3,941,"12,642",0.00%
CAPCOM CO LTD,6173694,439,"15,669",0.00%
CAPGEMINI SE,4163437,187,"49,419",0.00%
CAPITAL ONE FINANCIAL CORP,2654461,"9,334","2,688,209",0.04%
CAPITALAND INTEGRATED COMMER,6420129,"12,773","29,186",0.00%
CAPITALAND INVESTMENT LTD/SI,BNHXFJ6,"4,606","14,288",0.00%
CAPITEC BANK HOLDINGS LTD ZAR0.01,6440859,"12,268","3,291,184",0.05%
CAPLAND ASCENDAS REIT,6563875,"4,509","13,720",0.00%
CAPRAL LIMITED,6013972,"56,659","563,752",0.01%
CAPRICORN METALS LTD,BDD98W2,"936,331","5,880,158",0.10%
CAPSTONE COPPER CORP,BMY5XY9,"14,195","141,715",0.00%
CAPSTONE COPPER CORP-CDI,BQXH1K6,"174,298","1,709,868",0.03%
CARAVEL MINERALS LTD,B90KY77,"1,526,081","289,955",0.00%
CARAVEL MINERALS LTD-CW25,BNSP5H9,"59,796","1,076",0.00%
CARDINAL HEALTH INC COM,2175672,263,"50,246",0.00%
CARL ZEISS MEDITEC AG NPV,5922961,62,"4,712",0.00%
CARLISLE COS INC COM USD1,2176318,63,"37,497",0.00%
CARLSBERG AS-B,4169219,116,"17,897",0.00%
CARLYLE GROUP INC/THE,BKRTG56,249,"20,301",0.00%
CARMAX INC COM,2983563,136,"17,980",0.00%
CARNIVAL CORP COM,2523044,"1,092","43,957",0.00%
CARREFOUR SA,5641567,"5,366","123,216",0.00%
CARRIER GLOBAL CORP-W/I,BK4N0D7,913,"100,685",0.00%
CARSALES.COM.AU LTD NPV,BW0BGZ3,"253,243","9,124,343",0.15%
CARVANA CO CVNA,BYQHPG3,"4,265","1,400,980",0.02%
CATERPILLAR INC DEL COM,2180201,529,"309,656",0.01%
CBOE GLOBAL MARKETS INC,B5834C5,136,"42,915",0.00%
CBRE GROUP INC,B6WVMH3,"17,754","3,764,650",0.06%
CCL INDUSTRIES INC - CL B 'B'NON-VTG COM,2159795,91,"7,571",0.00%
CDN IMPERIAL BK OF COM COM,2170525,776,"79,211",0.00%
CDW CORP/DE COM USD0.01,BBM5MD6,"10,937","3,074,471",0.05%
CELANESE CORP-SERIES A COM SERIES 'A' US,B05MZT4,77,"8,560",0.00%
CELLNEX TELECOM SAU CLNX,BX90C05,553,"28,219",0.00%
CELSIUS HOLDINGS INC,B19HX21,"12,341","525,004",0.01%
CEMEX SA -SPONS ADR PART CER,2488671,"161,121","1,467,694",0.02%
CENCORA INC,2795393,"6,703","2,432,276",0.04%
CENERGY HOLDINGS SA,BE0974303357 (ISIN),"17,033","266,351",0.00%
CENOVUS ENERGY INC COM NPV,B57FG04,"1,629","39,862",0.00%
CENTENE CORP COM USD0.001,2807061,"2,625","256,871",0.00%
CENTERPOINT ENERGY INC COM,2440637,703,"36,004",0.00%
CENTRAL GLASS CO LTD CENTRAL GLASS CO LT,6184306,"12,358","421,643",0.01%
CENTRAL JAPAN RAILWAY CO,6183552,647,"19,703",0.00%
CENTRICA PLC,B033F22,"158,544","428,455",0.01%
Centuria Capital Group,6518745,"431,972","766,750",0.01%
CENTURIA INDUSTRIAL REIT,BD31FD8,"437,538","1,233,857",0.02%
CENTURIA OFFICE REIT,BKTW448,"423,736","466,110",0.01%
CETTIRE LTD,BN7J464,"402,972","608,488",0.01%
CEYLON GUARDIAN INVESTMENT GUAR,6183080,"83,037","72,093",0.00%
CF INDUSTRIES HOLDINGS INC COM USD0.01,B0G4K50,198,"27,288",0.00%
CGI INC GIB/A,BJ2L575,"13,258","2,341,658",0.04%
CHALICE MINING LTD,B0ZGW28,"646,763","714,673",0.01%
CHALLENGER LTD,6726300,"97,308","584,822",0.01%
CHAMPION IRON LTD,BLD3778,"65,900","383,356",0.01%
CHAMPION IRON LTD CIA,BLD1SB3,"313,229","1,801,069",0.03%
CHAMPIONX CORP-W/I,BMW7N69,"42,577","1,869,768",0.03%
CHANGCHUN HIGH & NEW TECH-A,BD5CDB3,"1,852","40,509",0.00%
CHANGSHA ZOOMLION HEAVY INDS,BD5CPZ1,"225,770","359,107",0.01%
CHARLES RIVER LABORATORIES COM,2604336,48,"14,168",0.00%
CHARTER COMMUNICATIONS INC,BZ6VT82,101,"55,647",0.00%
CHARTER HALL GROUP NPV (STAPLED),B15F6S6,"700,974","10,058,971",0.17%
CHARTER HALL LONG WALE REIT CLW,BDB46J2,"190,677","713,133",0.01%
CHARTER HALL RETAIL REIT,6225595,"581,967","1,833,196",0.03%
CHARTER HALL SOCIAL INFRASTR,BHJVMY0,"1,745","4,485",0.00%
CHECK POINT SOFTWARE T ORD,2181334,"25,342","7,641,581",0.13%
CHENGDU M&S ELECTRONICS TE-A,BLB3F09,"11,063","80,582",0.00%
CHENIERE ENERGY INC COM STK USD0.003,2654364,244,"84,784",0.00%
CHEVRON CORP COM USD0.75,2838555,"3,049","713,165",0.01%
CHIBA BANK LTD/THE,6190563,"1,429","17,958",0.00%
CHINA CONSTRUCTION BANK-A,BP3R3L4,"361,713","699,475",0.01%
CHINA CONSTRUCTION BANK-H,B0LMTQ3,"1,941,490","2,615,818",0.04%
CHINA ENERGY ENGINEERING COR,BP2DDJ1,"45,130","22,736",0.00%
CHINA GALAXY SECURITIES CO-A,BYWPH65,"11,598","38,861",0.00%
CHINA INTERNATIONAL CAPITA-H,BZ169C6,"783,371","2,088,107",0.03%
CHINA INTERNATIONAL CAPTAL-A,BMYPCF3,"29,197","216,398",0.00%
CHINA INTL MARINE CONTAIN-A,CNE000000644 (ISIN),"143,959","246,082",0.00%
CHINA MEDIAEXPRESS HOLDINGS COM STK USD0,B297ZZ5,"2,774",90,0.00%
CHINA MENGNIU DAIRY CO,B01B1L9,"509,936","1,861,820",0.03%
CHINA MERCHANTS BANK - H,B1DYPZ5,"224,465","1,866,838",0.03%
CHINA MERCHANTS BANK-A,BP3R273,"241,271","2,086,016",0.03%
CHINA MERCHANTS EXPRESSWAY-A,BFY8GC8,"104,959","322,116",0.01%
CHINA MERCHANTS SECURITIES-A,BP3R303,"47,154","198,761",0.00%
CHINA METAL RECYCLING,B54DPL5,"103,136",0,0.00%
CHINA MOLYBDENUM CO LTD-A,BP3R574,"134,938","197,412",0.00%
CHINA PACIFIC INSURANCE GR-A,BP3R2K6,"45,058","337,825",0.01%
CHINA PETROLEUM & CHEMICAL-A,BP3R240,"6,215","9,134",0.00%
CHINA PETROLEUM ENGINEERIN-A,BDC41N0,"14,613","11,509",0.00%
CHINA RAILWAY SIGNAL & COM-A,BK71F88,"59,528","81,982",0.00%
CHINA RESOURCES SANJIU MED-A,BD5CL42,"15,138","147,667",0.00%
CHINA SOUTH PUBLISHING -A,BP3R507,"245,206","809,712",0.01%
CHINA UNITED NETWORK-A,BP3R2X9,"165,390","193,207",0.00%
CHINA VANKE CO LTD -A,BD5CPW8,"44,520","71,107",0.00%
CHINA XD ELECTRIC CO LTD-A,BP3R671,"44,419","74,171",0.00%
CHINA YANGTZE POWER CO LTD-A,BP3R2M8,"21,546","140,068",0.00%
CHIPOTLE MEXICAN GRILL-CL A CLASS 'A' CO,B0X7DZ3,"1,440","140,211",0.00%
CHOCOLADEFABRIKEN LINDT-REG,5962309,0,"10,016",0.00%
CHONGOING SOKON INDUSTRY G-A,BYV1VC8,"6,926","203,246",0.00%
CHORUS LTD NPV,B54F6S5,"1,056,233","8,386,494",0.14%
CHUBB LTD,B3BQMF6,439,"195,895",0.00%
CHUBU ELECTRIC POWER CO INC,6195609,660,"11,229",0.00%
CHUGAI PHARMACEUTICAL CO LTD,6196408,"52,588","3,782,537",0.06%
CHURCH & DWIGHT CO INC USD1,2195841,225,"38,075",0.00%
CIA SANEAMENTO BASICO DE SP COM NPV,B1YCHL8,"69,249","1,602,237",0.03%
CIA VALE DO RIO DOCE-ADR,2857334,"83,964","1,202,881",0.02%
CIE FINANCIERE RICHEMON-REG,BCRWZ18,"11,837","2,909,043",0.05%
CIENA CORP COM STK USD0.01,B1FLZ21,"10,473","1,434,609",0.02%
CIGNA CORP,BHJ0775,310,"138,378",0.00%
CIMB GROUP HOLDINGS BERHAD,6075745,"478,716","1,417,892",0.02%
CINCINNATI FINL CORP COM,2196888,173,"40,252",0.00%
CINTAS CORP COM,2197137,388,"114,600",0.00%
CIPLA LIMITED,B011108,"60,992","1,759,262",0.03%
CISCO SYS INC COM,2198163,"4,241","405,480",0.01%
CITIC SECURITIES CO-A SHARES,BP3R2J5,"82,846","531,651",0.01%
CITIGROUP INC COM,2297907,"67,453","7,668,609",0.13%
CITIZENS FINANCIAL GROUP CFG,BQRX1X3,"9,697","685,355",0.01%
CIVMEC LTD/CDI,BFZL8R5,"112,538","144,049",0.00%
CK ASSET HOLDINGS LTD,BYZQ077,"1,812","12,015",0.00%
CK HUTCHISON HOLDINGS LTD,BW9P816,"68,912","594,621",0.01%
CK INFRASTRUCTURE HOLDINGS LTD,BYVS6J1,926,"11,125",0.00%
CLARIANT AG-REG,7113990,-304,"-5,460",0.00%
CLARITY PHARMACEUTICALS LTD,BMCHJF0,"120,846","503,927",0.01%
CLEAN HARBORS INC COM STK USD0.01,2202473,"7,370","2,739,561",0.05%
CLEANAWAY WASTE MANAGEMENT LTD,BYQ8KW7,"6,689,798","17,727,964",0.30%
CLINUVEL PHARMACEUTICALS LTD NPV,6328405,"18,815","226,909",0.00%
CLOROX CO DEL COM,2204026,120,"31,452",0.00%
CLOSE THE LOOP LTD,BP8YQ55,"459,216","107,916",0.00%
CLOUDFLARE INC - CLASS A NET,BJXC5M2,"44,477","7,735,212",0.13%
CLP HOLDINGS LTD,6097017,"1,881","25,542",0.00%
CME GROUP INC,2965839,"9,741","3,653,806",0.06%
CMS ENERGY CORP COM USD0.01,2219224,357,"38,476",0.00%
CNGR ADVANCED MATERIAL CO -A,BP91MT1,"2,447","19,448",0.00%
CNH INDUSTRIAL NV COM EUR0.01,BDX85Z1,"2,077","38,012",0.00%
CNO FINANCIAL GROUP INC,2657750,"21,848","1,313,060",0.02%
COCA COLA CO COM,2206657,"4,320","434,398",0.01%
Coca-Cola Europacific Partne,BYQQ3P5,198,"24,539",0.00%
COCA-COLA HBC AG-CDI COCA-COLA HBC AG-CD,B9895B7,314,"17,338",0.00%
COCHLEAR LIMITED,6211798,"34,106","9,886,624",0.16%
CODAN LTD NPV,6712611,264,"4,248",0.00%
COFACE SA COFA,BNFWV75,"14,319","344,376",0.01%
COGNEX CORP COM USD0.002,2208288,"9,991","578,662",0.01%
COGNIZANT TECHNOLOGY S CL A,2257019,"14,118","1,753,516",0.03%
COINBASE GLOBAL INC -CLASS A,BMC9P69,182,"72,871",0.00%
COLES GROUP LTD,BYWR0T5,"622,195","11,753,266",0.20%
COLGATE-PALMOLIVE CO,2209106,856,"125,722",0.00%
COLLINS FOODS LTD NPV,B6QCFP1,"198,629","1,442,050",0.02%
COLOPLAST-B,B8FMRX8,"9,042","1,594,356",0.03%
COMCAST CORP-CLASS A,2044545,"4,364","264,534",0.00%
COMMERZBANK AG,B90LKT4,"1,315","34,594",0.00%
COMMONWEALTH BANK OF AUSTRAL,6215035,"528,825","81,042,472",1.35%
COMPAGNIE DE SAINT-GOBAIN,7380482,474,"68,000",0.00%
COMPASS GROUP PLC,BD6K457,"85,861","4,623,281",0.08%
COMPUGROUP MEDICAL SE & CO K,BMY7CH1,"47,932","1,744,353",0.03%
COMPUTERSHARE LTD NPV,6180412,"351,390","11,929,685",0.20%
CONAGRA BRANDS INC,2215460,514,"23,053",0.00%
CONCORDIA FINANCIAL GROUP LTD,BD97JW7,701,"6,278",0.00%
CONOCOPHILLIPS COM,2685717,"51,326","8,221,020",0.14%
CONSOLIDATED EDISON INC COM,2216850,345,"49,770",0.00%
CONSORCIO ARA S.A.B.-SER * SER'UNICA'NPV,B1TV969,"60,608","15,065",0.00%
CONSTELLATION BRANDS INC-A,2170473,174,"62,055",0.00%
CONSTELLATION ENERGY-W/I,BMH4FS1,"6,087","2,199,360",0.04%
CONSTELLATION SOFTWARE IN-28,BR52TP7,21,0,0.00%
CONSTELLATION SOFTWARE INC COM STK NPV,B15C4L6,23,"115,920",0.00%
CONTEMPORARY AMPEREX TECHN-A,BHQPSY7,"146,872","8,594,880",0.14%
CONTINENTAL AG,4598589,70,"7,606",0.00%
CONVATEC GROUP PLC-WI CTEC,BD3VFW7,"444,151","1,987,298",0.03%
COOPER COS INC/THE,BQPDXR3,"10,408","1,545,314",0.03%
COPA HOLDINGS SA-CLASS A NPV CLASS 'A',B0TNJH9,"2,195","311,608",0.01%
COPART INC COM NPV,2208073,"17,312","1,604,655",0.03%
CORBION N.V.,BFRSRR7,"37,237","1,345,189",0.02%
CORE & MAIN INC-CLASS A,BNXKS92,"29,577","2,432,028",0.04%
COREBRIDGE FINANCIAL INC,BMTX0G9,35,"1,709",0.00%
CORNING INC COM,2224701,"32,022","2,457,668",0.04%
CORONADO GLOBAL RESOURCE-CDI,BGV71W0,"352,290","269,502",0.00%
CORP INMOBILIARIA VESTA SAB COM NPV,B8F6ZF8,"623,843","2,578,477",0.04%
CORPAY INC,BMX5GK7,67,"36,595",0.00%
CORPORATE TRAVEL MANAGEMENT NPV,B3R1D52,"176,574","2,339,604",0.04%
CORTEVA INC-W/I,BK73B42,"3,570","328,416",0.01%
COSAN SA INDUSTRIA COMERCIO COM NPV,B0P72G5,"157,898","336,848",0.01%
COSCO SHIPPING CO LTD-A,BP3RGR1,"26,024","41,795",0.00%
COSMO ENERGY HOLDINGS CO LTD 5021,BYSJJ43,"17,921","1,276,154",0.02%
COSMOS PHARMACEUTICAL CORP NPV,B036QP1,"5,522","380,040",0.01%
COSTAR GROUP INC USD0.01,2262864,374,"43,226",0.00%
COSTCO WHSL CORP NEW COM,2701271,"2,965","4,387,447",0.07%
COTERRA ENERGY INC,2162340,761,"31,377",0.00%
COUPANG INC,BNYHDF3,"206,827","7,342,402",0.12%
COVESTRO AG-W/I 1COV,BYTBWY9,320,"30,048",0.00%
COVIVIO,7745638,35,"2,888",0.00%
CP ALL PCL-FOREIGN,B08YDF9,"390,365","1,030,937",0.02%
CRANSWICK PLC ORD GBP0.10,231888,"3,960","389,739",0.01%
CREDICORP LTD COM USD5,2232878,"8,829","2,614,034",0.04%
CREDIT AGRICOLE SA,7262610,"1,278","28,407",0.00%
CREDIT CORP GROUP LIMITED NPV,6287658,"50,133","801,627",0.01%
CRESUD S.A.-SPONS ADR,2226893,"18,785","383,195",0.01%
CRH PLC,B01ZKD6,"3,190","476,657",0.01%
CRODA INTERNATIONAL PLC,BJFFLV0,"32,019","2,192,399",0.04%
CROMWELL PROPERTY GROUP,6225476,"1,138,276","432,545",0.01%
CROWDSTRIKE HOLDINGS INC - A CRWD,BJJP138,231,"127,621",0.00%
CROWN CASTLE INTL CORP COM,BTGQCX1,445,"65,221",0.00%
CROWN HOLDINGS INC COM,2427986,97,"12,894",0.00%
CRRC CORP LTD,BP3R358,"96,935","178,707",0.00%
CSL LTD,6185495,"260,954","73,479,509",1.22%
CSX CORP COM,2160753,"2,075","108,162",0.00%
CT HOLDINGS PLC CTHR,6185202,"190,892","346,987",0.01%
CTS EVENTIM AG & CO KGAA,5881857,192,"26,260",0.00%
CUMMINS INC COM,2240202,147,"82,669",0.00%
CUSHMAN & WAKEFIELD PLC CWK,BFZ4N46,"7,465","157,707",0.00%
CVC CAPITAL PARTNERS PLC,BRX9808,-281,"-10,007",0.00%
CVS HEALTH CORP CVS,2577609,"1,292","93,673",0.00%
CYBERAGENT INC NPV,6220501,"22,055","248,412",0.00%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,BQT3XY6,54,"28,918",0.00%
CYPRIUM METALS LTD,BJDX9R8,"3,628,943","83,466",0.00%
CYPRIUM METALS LTD-RIGHTS03FEB2025,AU0000050536 (ISIN),"226,809",0,0.00%
D R HORTON INC COM,2250687,356,"80,484",0.00%
DAI NIPPON PRINTING CO LTD,6250906,"65,201","1,487,214",0.02%
DAIFUKU CO LTD,6250025,314,"10,656",0.00%
DAI-ICHI LIFE HOLDINGS INC,B601QS4,"1,071","46,606",0.00%
DAIICHI SANKYO CO LTD,B0J7D91,"1,883","84,223",0.00%
DAIMLER TRUCK HOLDING AG,BP6VLQ4,537,"33,088",0.00%
DAITO TRUST CONSTRUCT CO LTD,6250508,52,"9,307",0.00%
DAIWA HOUSE INDUSTRY CO LTD,6251363,660,"32,968",0.00%
DAIWA SECS GROUP INC,6251448,"56,393","607,367",0.01%
DALRYMPLE BAY,BNM6Z56,"28,892","104,011",0.00%
DANAHER CORP DEL COM,2250870,771,"285,891",0.00%
DANONE,B1Y9TB3,592,"64,482",0.00%
DANSKE BK A/S BEARER SHS,4588825,"1,076","49,165",0.00%
DARDEN RESTAURANTS INC COM,2289874,149,"44,931",0.00%
DASSAULT AVIATION SA,BMT9L19,39,"13,019",0.00%
DASSAULT SYSTEMES SE,BM8H5Y5,772,"43,241",0.00%
DATA#3 LIMITED NPV,6093015,"2,379","15,200",0.00%
DATADOG INC - CLASS A DDOG,BKT9Y49,"15,650","3,611,711",0.06%
DAVIDE CAMPARI-MILANO NV,BMQ5W17,"91,260","918,521",0.02%
DAVITA INC,2898087,109,"26,362",0.00%
DAYFORCE INC,BFX1V56,136,"15,912",0.00%
DBAPPSECURITY LTD-A,BMF7P37,"13,480","120,993",0.00%
DBS GROUP HOLDINGS LTD,6175203,"1,942","100,537",0.00%
DCC PLC ORD,242493,129,"13,448",0.00%
DE GREY MINING LTD DEG,6534837,"1,280,690","2,260,418",0.04%
DECKERS OUTDOOR CORP COM USD0.01,2267278,130,"42,620",0.00%
DEEP YELLOW LTD NPV,6480275,"2,827,239","3,180,643",0.05%
DEERE & CO COM,2261203,"4,322","2,957,719",0.05%
DELIVERY HERO AG,BZCNB42,164,"7,449",0.00%
DELL TECHNOLOGIES -C W/I,BHKD3S6,308,"57,378",0.00%
DELTA AIR LINES INC COM USD0.0001,B1W9D46,"11,232","1,097,569",0.02%
DELTA ELECTRONICS INC,6260734,"123,670","2,622,835",0.04%
DEMANT A/S,BZ01RF1,72,"4,285",0.00%
DENSO CORP ORD,6640381,"1,802","41,020",0.00%
DENTSU GROUP INC,6416281,212,"8,318",0.00%
DESCARTES SYSTEMS GRP/THE COM NPV,2141941,174,"31,936",0.00%
DETERRA ROYALTIES LTD,BJP5T05,"23,512","87,463",0.00%
DEUTSCHE BANK AG NAMEN ORD,5750355,"2,041","56,799",0.00%
DEUTSCHE BOERSE AG,7021963,"6,690","2,488,213",0.04%
DEUTSCHE TELEKOM NPV(REGD),5842359,"3,486","168,444",0.00%
DEUTZ AG NPV,4557847,"32,756","221,215",0.00%
DEVELOP GLOBAL LTD,BNVQGB0,"426,394","997,763",0.02%
DEVON ENERGY CORP NEW COM,2480677,738,"39,019",0.00%
DEXCO SA,BN7F4X9,"654,297","1,019,504",0.02%
DEXCOM INC COM USD0.001,B0796X4,"30,004","3,768,794",0.06%
DEXUS,B033YN6,"1,183,938","7,885,024",0.13%
DEXUS INDUSTRIA REIT,BP2RQ94,"258,405","664,100",0.01%
DHL GROUP,4617859,887,"50,405",0.00%
DHT HOLDINGS INC DHT,B7JB336,"111,232","1,668,975",0.03%
DIAGEO PLC,237400,"62,877","3,227,356",0.05%
DIALOG AXIATA PLC DIAL,B0DJQ38,"11,845,723","763,990",0.01%
DIAMONDBACK ENERGY INC,B7Y8YR3,"5,757","1,523,379",0.03%
DIANA SHIPPING INC COM STK USD0.01,B06FL27,"61,685","195,270",0.00%
DIANA SHIPPING INC-28,BQ72J03,"12,239","2,196",0.00%
DIASORIN SPA EUR1,B234WN9,-5,-795,0.00%
DICK'S SPORTING GOODS INC COM USD0.01,2969637,73,"26,889",0.00%
DIGICO INFRASTRUCTURE REIT,AU0000367088 (ISIN),"14,904","66,323",0.00%
DIGITAL REALTY TRUST INC COM STK USD0.01,B03GQS4,336,"96,336",0.00%
DINO POLSKA SA DNP,BD0YVN2,"24,351","3,711,551",0.06%
DISCO CORP JPY50,6270948,84,"37,105",0.00%
DISCOVER FINANCIAL-W/I COM STK USD0.01,B1YLC43,285,"79,655",0.00%
DISCOVERY LTD,6177878,"21,776","363,028",0.01%
DISNEY WALT CO COM DISNEY,2270726,"5,224","939,546",0.02%
D-MARKET ELECTRONIC SERV-ADR,BLD30P7,"131,894","645,461",0.01%
DMCI HOLDINGS INC PHP1,6272483,"224,390","67,792",0.00%
DMG MORI CO LTD,6602563,"15,624","408,331",0.01%
DNB BANK ASA,BNG7113,"1,356","43,753",0.00%
DOCUSIGN INC DOCU,BFYT7B7,200,"29,017",0.00%
DOLLAR GENERAL CORP COM USD0.875,B5B1S13,"18,852","2,308,522",0.04%
DOLLAR TREE INC,2272476,220,"26,652",0.00%
DOLLARAMA INC COM NPV,B4TP9G2,297,"46,774",0.00%
DOMINION ENERGY INC,2542049,852,"74,100",0.00%
DOMINO'S PIZZA ENTERPRISES L,B07SFG7,"57,062","1,679,897",0.03%
DOMINOS PIZZA INC COM USD0.01,B01SD70,31,"21,232",0.00%
DONG-E E-JIAO-A,BD5CM61,"25,994","358,669",0.01%
DOORDASH INC - A,BN13P03,339,"91,802",0.00%
DOVER CORP COM,2278407,162,"48,955",0.00%
DOW INC-W/I,BHXCF84,725,"46,966",0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071,"42,569","58,080",0.00%
DOWNER EDI LTD,6465573,"3,378,462","17,736,925",0.30%
DR ING HC F PORSCHE AG,BJN59B8,103,"10,024",0.00%
DRAFTKINGS INC-CL A,BLDDH12,441,"26,485",0.00%
DROPSUITE LTD,BYV57V1,"179,207","831,522",0.01%
DSM-FIRMENICH AG,CH1216478797,208,"34,063",0.00%
DSV A/S,B1WT5G2,"7,681","2,633,899",0.04%
DTE ENERGY CO COM,2280220,221,"43,043",0.00%
DUKE ENERGY CORP COM,B7VD3F2,778,"135,325",0.00%
DUPONT DE NEMOURS INC,BK0VN47,507,"62,387",0.00%
DYNATRACE INC DT,BJV2RD9,241,"21,136",0.00%
E.ON SE,4942904,"2,371","44,588",0.00%
EAGERS AUTOMOTIVE LTD,6296201,"237,569","2,812,817",0.05%
EAST JAPAN RAILWAY CO,6298542,942,"27,054",0.00%
EAST MONEY INFORMATION CO-A,BD5CPC8,"36,517","207,431",0.00%
EASTMAN CHEM CO COM,2298386,102,"14,999",0.00%
EASTROC BEVERAGE GROUP CO -A,BP91NL0,"28,404","1,552,955",0.03%
EBAY INC COM,2293819,498,"49,868",0.00%
EBOS GROUP LTD EBO,BH36SD2,"30,072","1,022,134",0.02%
ECOLAB INC COM,2304227,259,"98,021",0.00%
EDENRED EUR2,B62G1B5,237,"12,607",0.00%
EDISON INTL COM,2829515,342,"44,092",0.00%
EDP RENOVAVEIS SA EUR5,B39GNW2,500,"8,394",0.00%
EDWARDS LIFESCIENCES C COM,2567116,"53,578","6,406,144",0.11%
EIFFAGE,B13X013,41,"5,796",0.00%
EISAI CO LTD,6307200,334,"14,846",0.00%
ELDERS LTD,6357852,"287,446","2,058,117",0.03%
ELECTRICIDADE DE PORTUGAL SA,4103596,"1,478","7,640",0.00%
ELECTRONIC ARTS INC COM,2310194,"30,095","7,111,171",0.12%
ELEMENT FINANCIAL CORP ELEMENT FINANCIAL,B7FNMQ2,366,"11,944",0.00%
ELEVANCE HEALTH INC,BSPHGL4,"2,573","1,533,152",0.03%
ELF BEAUTY INC ELF,BDDQ975,"19,893","4,033,800",0.07%
ELI LILLY & CO,2516152,"8,154","10,167,256",0.17%
ELIA GROUP SA/NV,B09M9F4,-2,-229,0.00%
ELISA CORP SHS,5701513,31,"2,193",0.00%
EMAAR PROPERTIES PJSC,B01RM25,"361,107","2,040,405",0.03%
EMCOR GROUP INC COM,2474164,35,"25,306",0.00%
EMECO HOLDINGS LTD NPV,B1978V5,"1,420,781","1,300,015",0.02%
EMERA INC COM NPV,2650050,185,"11,133",0.00%
EMERALD RESOURCES NL,6107381,-607,"-1,972",0.00%
EMERSON ELEC CO COM,2313405,591,"118,270",0.00%
EMPIRE CO LTD 'A' CLASS'A'N/VTG COM NPV,2314000,112,"5,532",0.00%
EMPRESA BRAS DE AERONAUTICA COM NPV,B16FPG6,"95,914","1,408,999",0.02%
EMS-CHEMIE HOLDING AG CHF0.01(REGD)(POST,7635610,3,"3,673",0.00%
EN JAPAN INC,6352750,"55,818","1,216,689",0.02%
EN+ GROUP INTERNATIONAL PJSC,BJ9NFD0,"12,345",0,0.00%
ENBRIDGE INC,2466149,"1,995","136,706",0.00%
ENCOMPASS HEALTH CORP,BYX2YJ7,"8,285","1,235,744",0.02%
ENDAVA PLC- SPON ADR DAVA,BZ0WK66,"48,574","2,424,179",0.04%
ENDEAVOUR GROUP LTD/AUSTRALI,BNVS144,"885,290","3,718,219",0.06%
ENDEAVOUR MINING PLC,BL6K5J4,258,"7,432",0.00%
ENDESA SA,5271782,445,"15,471",0.00%
ENEL,7144569,"7,791","89,729",0.00%
ENEOS HOLDINGS INC,B627LW9,"2,024","17,185",0.00%
ENGIE,B0C2CQ3,"2,158","55,260",0.00%
ENHABIT INC-W/I,BQFMQ93,"93,434","1,178,584",0.02%
ENI SPA,7145056,"2,845","62,282",0.00%
ENPHASE ENERGY INC ENPH,B65SQW4,"20,836","2,311,221",0.04%
ENPRO INC,2951292,"1,553","432,433",0.01%
ENTAIN PLC,B5VQMV6,658,"9,145",0.00%
ENTEGRIS INC COM,2599700,171,"27,295",0.00%
ENTERGY CORP NEW COM,2317087,341,"41,711",0.00%
ENVIRONMENTAL GROUP LTD/THE,6206653,"554,117","174,547",0.00%
ENVISTA HOLDINGS CORP,BK63SF3,"87,061","2,712,445",0.05%
EOG RES INC COM,2318024,596,"117,962",0.00%
EOPTOLINK TECHNOLOGY INC L-A,BD761B9,"2,476","62,961",0.00%
